"BLUP","Genotype"
4.70464615048433,"sa13_1363"
4.6915528643513,"ld11_10069"
4.65550225846517,"u16_902058"
4.64929832893882,"c1839"
4.64654188983503,"a94_774016"
4.64136240296943,"e98195"
4.63762347222446,"u13_603120"
4.63694015855471,"k07_1253"
4.61638398965298,"k1548"
4.5996621242965,"ld15_544"
4.59498762321759,"lg11_6210"
4.59022432195769,"hs99_4468"
4.54319753148289,"hm11_w193"
4.52339817677717,"c1831"
4.51989672674351,"hs90_3487"
4.49825497574438,"u95_3231"
4.49645576240922,"ld07_4477"
4.47938494839588,"a92_727017"
4.47933935237855,"ld10_9168"
4.47315007381509,"a97_971057"
4.47146470063639,"a06_912004"
4.46160797321227,"u15_322139"
4.43664352760821,"a98_980013"
4.43303457093142,"lg09_7477"
4.4200095746882,"u12_428210"
4.40620532003479,"a00_912032"
4.39466225813078,"cl05_4611"
4.39174998043897,"a03_942054"
4.38614727139678,"orc14.150.305"
4.3819720330352,"u11_614093"
4.37348940494213,"u11_396034"
4.3513489151279,"u93_3716"
4.35009088436171,"ln88_10534"
4.34396532218314,"a08_248043"
4.34235604711633,"u93_3204"
4.33731118482368,"u99_005032"
4.33520427687735,"lg09_7250"
4.32781318777524,"ln90_745"
4.31637157779419,"am90_212021"
4.3151679805504,"hc98_303"
4.31042749766486,"ld14_3340"
4.31035065529187,"ld07_3419"
4.30831815145192,"ia3018"
4.29780210314798,"a91_701007"
4.29622851757708,"e99248"
4.28043685138346,"u11_346046"
4.27873558741714,"ag3832"
4.26735938191896,"ln89_3619"
4.25388774042665,"lg06_2354"
4.24810135055359,"a00_812052"
4.2441737754183,"k1547"
4.23034263750334,"ln94_3452"
4.22727450018333,"lg09_8545"
4.20497932965302,"k1200"
4.18675970380333,"u11_622148"
4.18484322328492,"a98_980057"
4.173452001221,"k07_1166"
4.13664382708657,"lg12_2177"
4.1327120275409,"u16_909058"
4.12780544027198,"cl04_3711"
4.10776410915929,"hs0_3243"
4.10563418986269,"ld10_5330a"
4.09954861080458,"sl90_3185"
4.08388183150586,"ln90_728"
4.07704948969902,"ia3010"
4.07495915124951,"u97_3212"
4.0684710132955,"ln95_3868"
4.06297001353855,"c1845"
4.05306074755435,"u97_201128"
4.05087161224475,"ld11_14102r"
4.04383948075491,"a99_315022"
4.04062258851952,"u01_390784"
4.04062258851951,"hc00_672"
4.03761557356265,"u16_609059"
4.03165348715658,"ld12_3866"
4.01555940621115,"c1966"
4.01485819304695,"lg14_6201"
4.01397873106553,"a98_980046"
4.00933730830713,"apex"
3.99999842927246,"a06_912002"
3.98926257030288,"ld10_9200"
3.9760376031225,"hs96_3333"
3.9714194039615,"a00_912046"
3.96898091141958,"a06_912003"
3.96581213283363,"a06_912037"
3.95333296827148,"hs89_3032"
3.94954585278056,"ar13_332048"
3.93667830236446,"k1230"
3.9335779931223,"c1967"
3.93220365546272,"u11_377007"
3.92276425855502,"u90_2310"
3.92054497830658,"u96_3106"
3.91679190837744,"lg04_5988"
3.9157041178774,"hs3_2840"
3.90752481029109,"orc14.150.307"
3.90610500961514,"u91_3212"
3.90409465903015,"u97_3635"
3.90409465903014,"hs96_3329"
3.90393165031858,"c1842"
3.88726039965513,"ld12_459"
3.88106252965615,"ld10_5213a"
3.87713241692681,"sd_ld_05_16121"
3.87684343819265,"cr14_7814"
3.87009284288079,"a98_980048"
3.86653404240379,"a05_312025"
3.86598519463663,"a96_591046"
3.86341736190062,"hs90_3484"
3.86272292494316,"a00_912049"
3.86109997486926,"ln95_3853"
3.86087097579287,"sa13_2126"
3.85006649877903,"a99_217006"
3.84886203441674,"ar18_381043"
3.84629651697766,"c2028"
3.84467028247327,"cl05_3314"
3.84065081201785,"a02_336040"
3.82460768355913,"nex3301h1r"
3.82392907934625,"hc86_4367"
3.81594474529973,"u16_909085"
3.81232188267812,"u09_316112"
3.80853734601406,"e99279"
3.80581743796778,"ar11_314016"
3.79531583520307,"a08_350036"
3.78486301729742,"e99132"
3.78367094020256,"a00_912027"
3.77893965990492,"hr10_3325"
3.7771260303296,"k1564"
